PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
7000013127,Stoner's Pod - Cherry Bomb - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013127,10755862,5/22/2024,Stoner's Pod - Cherry Bomb - 2g
7000013126,Stoners - Cherry Bomb,,,,$50.00 ,$5.00 ,Yes,10,1A40E0100006987000013126,10755861,5/22/2024,Stoners - Cherry Bomb
7000013124,Loud Panda - Magic Melon - 2g,,,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013124,10755859,5/22/2024,Loud Panda - Magic Melon - 2g
7000013113,Cherry - 2500mg - Jelly's,,5,OK KIND CONNECTION PROCESSING LLC,$125.00 ,$25.00 ,Yes,5,1A40E0100006987000013113,10755848,5/22/2024,Cherry - 2500mg - Jelly's
7000013112,Wild Berry Splash 150mg,,,,$25.00 ,$5.00 ,Yes,5,1A40E0100006987000013112,10755847,5/22/2024,Wild Berry Splash 150mg
7000013114,Very Berry - 2500mg - Jelly's,,6,OK KIND CONNECTION PROCESSING LLC,$125.00 ,$25.00 ,Yes,5,1A40E0100006987000013114,10755849,5/22/2024,Very Berry - 2500mg - Jelly's
7000013116,Jelly's Air - Rainbow Roll Up - 2g,,5,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013116,10755851,5/22/2024,Jelly's Air - Rainbow Roll Up - 2g
7000013111,Strawberry - 150mg - Gummies,,,,$25.00 ,$5.00 ,Yes,5,1A40E0100006987000013111,10755846,5/22/2024,Strawberry - 150mg - Gummies
7000013110,Pink Lemonade - 150mg - Gummies,,,,$25.00 ,$5.00 ,Yes,5,1A40E0100006987000013110,10755845,5/22/2024,Pink Lemonade - 150mg - Gummies
7000013115,Jelly's Air - Purple Gushers - 2g,,2,,$75.00 ,$15.00 ,Yes,5,1A40E0100006987000013115,10755850,5/22/2024,Jelly's Air - Purple Gushers - 2g
B000000492,Blueberry Strawberry Pens 2ml,,1,,$450.00 ,$15.00 ,Yes,30,1A40E010002AEBB000000492,10826097,5/22/2024,Blueberry Strawberry Pens 2ml
213222033,Lookah Dragons Egg,,,C Store Imports,$60.00 ,$60.00 ,No,1,,,5/20/2024,
D000004247,Blackwell - Oreoz small flowers,0.01,,,"$1,905.08 ",$1.40 ,Yes,1360.77,1A40E01000173ED000004247,10806991,5/20/2024,Blackwell - Oreoz small flowers
